,open,high,low,close,volume
1686142800000,1864.95,1864.95,1862.54,1862.54,19.21067
1686142860000,1864.28,1864.47,1863.73,1863.73,2.33973
1686142920000,1863.76,1864.62,1863.76,1864.62,10.13152
1686142980000,1864.85,1864.95,1864.85,1864.95,1.50676
1686143040000,1864.72,1864.72,1830.0,1830.0,17.01784
1686143100000,1863.73,1863.73,1863.57,1863.57,0.88532
1686143160000,1863.31,1863.31,1862.8,1862.86,2.86492
1686143220000,1863.13,1863.65,1862.89,1862.89,9.0003
1686143280000,1862.65,1862.86,1862.64,1862.86,2.6037
1686143340000,1862.15,1862.35,1862.0,1862.0,5.87936
1686143400000,1862.09,1862.41,1830.0,1861.54,29.16887
1686143460000,1861.57,1862.73,1861.57,1861.8,10.29726
1686143520000,1861.76,1863.07,1861.76,1863.07,9.61226
1686143580000,1863.07,1863.55,1863.07,1863.55,3.99164
1686143640000,1863.25,1863.25,1862.7,1862.7,0.78835
1686143700000,1862.36,1864.1,1861.12,1863.01,27.45237
1686143760000,1863.07,1863.18,1861.83,1862.09,9.26661
1686143820000,1862.21,1862.78,1862.21,1862.73,3.14065
1686143880000,1862.73,1863.06,1862.73,1862.73,4.0152
1686143940000,1862.11,1863.35,1862.11,1863.35,7.338
1686144000000,1863.22,2000.0,1863.21,2000.0,19.30986
1686144060000,1864.38,1865.02,1859.72,1864.42,21.08699
1686144120000,1864.19,1864.19,1863.24,1863.24,4.42383
1686144180000,1863.25,1863.71,1863.05,1863.35,7.01934
1686144240000,1863.51,1863.85,1830.0,1863.85,23.22465
1686144300000,1863.67,1863.68,1863.67,1863.68,0.37023
1686144360000,1863.69,1865.01,1863.69,1865.01,5.72779
1686144420000,1865.26,1865.38,1864.14,1864.14,4.85828
1686144480000,1863.87,1864.54,1862.6,1863.12,23.61081
1686144540000,1863.07,1863.28,1835.73,1835.73,15.68251
1686144600000,1862.13,1864.28,1835.73,1864.28,40.93882
1686144660000,1864.08,1865.05,1846.54,1864.36,25.60531
1686144720000,1864.19,2064.79,1864.03,1865.25,39.37704
1686144780000,1865.11,1865.58,1864.53,1864.53,11.74248
1686144840000,1864.51,1865.06,1863.95,1863.95,30.60853
1686144900000,1863.95,1863.95,1863.01,1863.02,33.58319
1686144960000,1863.08,1863.53,1862.21,1863.53,7.48143
1686145020000,1863.63,1863.76,1863.29,1863.29,2.14636
1686145080000,1863.3,1863.93,1862.6,1862.6,9.18405
1686145140000,1862.13,1863.81,1861.68,1861.8,19.71153
1686145200000,1861.85,1861.94,1804.8,1861.7,35.87313
1686145260000,1861.86,1862.6,1861.2,1861.8,20.78102
1686145320000,1861.34,1861.44,1857.84,1859.43,26.67518
1686145380000,1858.8,1859.8,1857.82,1859.03,11.83098
1686145440000,1858.55,1860.18,1842.4,1854.04,29.13173
1686145500000,1860.18,1860.24,1850.54,1858.25,14.49524
1686145560000,1858.18,1867.47,1856.04,1859.73,38.27412
1686145620000,1859.84,1860.31,1857.54,1860.2,19.65729
1686145680000,1860.25,1864.65,1856.86,1864.65,32.14412
1686145740000,1864.67,1864.97,1863.26,1863.26,14.9179
1686145800000,1862.96,1864.15,1862.96,1863.39,5.75805
1686145860000,1863.02,1866.97,1863.02,1866.61,16.02
1686145920000,1865.79,1865.84,1864.53,1864.53,8.95127
1686145980000,1864.49,1865.45,1864.45,1865.14,8.15783
1686146040000,1864.56,1864.66,1863.91,1864.59,5.30733
1686146100000,1864.35,1866.69,1864.35,1866.43,14.24901
1686146160000,1866.55,1867.68,1866.12,1866.12,10.79638
1686146220000,1866.01,1866.67,1865.18,1866.39,13.0738
1686146280000,1866.23,1866.26,1865.56,1865.56,8.40086
1686146340000,1865.42,1865.57,1864.9,1864.9,1.87911
1686146400000,1864.6,1864.62,1855.69,1863.38,8.74005
1686146460000,1863.43,1863.46,1862.35,1863.03,8.22126
1686146520000,1863.03,1863.49,1861.87,1861.87,5.53312
1686146580000,1861.61,1861.84,1860.1,1861.35,11.93741
1686146640000,1860.97,1861.56,1842.7,1861.43,24.74347
