open_time,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
1686705000000,1742.37000000,1742.37000000,1742.36000000,1742.37000000,12.08230000,1686705059999,21051.79926400,131,8.30360000,14467.94353200,0
1686705060000,1742.37000000,1743.18000000,1742.36000000,1742.37000000,87.48800000,1686705119999,152464.22253300,272,64.28230000,112018.45334900,0
1686705120000,1742.37000000,1742.81000000,1742.36000000,1742.45000000,138.50350000,1686705179999,241378.81543800,144,19.30720000,33643.30022300,0
1686705180000,1742.45000000,1742.45000000,1742.18000000,1742.38000000,33.65070000,1686705239999,58627.56306800,189,29.18710000,50850.22410900,0
1686705240000,1742.38000000,1742.65000000,1742.38000000,1742.53000000,77.74130000,1686705299999,135469.74151300,165,24.69730000,43033.78989700,0
1686705300000,1742.54000000,1742.62000000,1742.46000000,1742.61000000,19.92770000,1686705359999,34724.47638600,152,15.64230000,27256.89048100,0
1686705360000,1742.61000000,1742.92000000,1742.61000000,1742.92000000,9.81940000,1686705419999,17113.67042800,129,7.18390000,12520.33624100,0
1686705420000,1742.91000000,1744.41000000,1742.91000000,1744.40000000,90.10830000,1686705479999,157116.99687600,302,82.67390000,144151.92193000,0
1686705480000,1744.41000000,1744.97000000,1744.12000000,1744.12000000,119.78200000,1686705539999,208970.42841800,287,28.09150000,49002.78013200,0
1686705540000,1744.13000000,1744.13000000,1744.00000000,1744.01000000,19.99380000,1686705599999,34870.08169400,110,15.05040000,26248.42224600,0
1686705600000,1744.01000000,1744.01000000,1743.57000000,1743.57000000,45.42330000,1686705659999,79205.53900000,195,16.26600000,28361.69025600,0
1686705660000,1743.57000000,1743.58000000,1743.01000000,1743.08000000,185.07420000,1686705719999,322595.80795600,211,64.19120000,111887.84941100,0
1686705720000,1743.08000000,1743.08000000,1741.82000000,1741.82000000,386.09390000,1686705779999,672949.48837600,248,2.37120000,4131.79598000,0
1686705780000,1741.83000000,1741.83000000,1741.69000000,1741.70000000,31.19630000,1686705839999,54337.69502300,100,3.90830000,6807.51605700,0
1686705840000,1741.70000000,1741.99000000,1741.70000000,1741.98000000,42.41680000,1686705899999,73882.91532700,149,34.64420000,60343.32263900,0
1686705900000,1741.98000000,1742.26000000,1741.98000000,1742.26000000,27.25890000,1686705959999,47486.57691700,130,21.82540000,38020.85010100,0
1686705960000,1742.26000000,1743.15000000,1742.25000000,1742.64000000,190.57190000,1686706019999,332099.85647500,190,119.44020000,208129.60257100,0
1686706020000,1742.63000000,1742.66000000,1742.30000000,1742.65000000,38.77100000,1686706079999,67559.62742100,161,13.03540000,22714.04239200,0
1686706080000,1742.66000000,1743.07000000,1742.65000000,1743.01000000,39.94240000,1686706139999,69614.93680400,148,31.35110000,54640.15810200,0
1686706140000,1743.01000000,1743.02000000,1742.58000000,1742.58000000,9.19300000,1686706199999,16020.83255900,113,2.20620000,3844.96951100,0
1686706200000,1742.59000000,1742.96000000,1742.57000000,1742.87000000,22.44720000,1686706259999,39118.93438500,124,14.18330000,24717.16139600,0
1686706260000,1742.87000000,1742.95000000,1742.86000000,1742.94000000,33.08460000,1686706319999,57662.17820800,139,26.94150000,46955.59222200,0
1686706320000,1742.95000000,1742.96000000,1742.94000000,1742.96000000,26.02780000,1686706379999,45365.21522500,113,21.23200000,37006.37952200,0
1686706380000,1742.96000000,1743.30000000,1742.95000000,1743.30000000,64.26050000,1686706439999,112008.05234000,162,60.03010000,104634.45213300,0
1686706440000,1743.29000000,1743.30000000,1742.15000000,1742.48000000,136.10890000,1686706499999,237221.17433600,235,18.82330000,32795.64914600,0
1686706500000,1742.49000000,1743.27000000,1742.48000000,1743.26000000,85.85730000,1686706559999,149619.41712600,142,79.86980000,139183.36893600,0
1686706560000,1743.27000000,1743.33000000,1743.02000000,1743.10000000,92.33940000,1686706619999,160963.11708300,202,57.91510000,100951.20430000,0
1686706620000,1743.09000000,1743.10000000,1743.09000000,1743.09000000,16.15240000,1686706679999,28155.13836200,82,5.14460000,8967.55226000,0
