,open,high,low,close,volume
2023-06-07 13:14:00,1863.88,1863.88,1863.82,1863.82,0.76651
2023-06-07 13:15:00,1863.33,1863.82,1863.17,1863.82,9.7881
2023-06-07 13:16:00,1863.82,1864.89,1863.18,1863.85,22.66522
2023-06-07 13:17:00,1863.59,1863.59,1767.2,1861.4,8.20511
2023-06-07 13:18:00,1861.4,1863.35,1860.54,1863.35,33.35338
2023-06-07 13:19:00,1863.4,1864.1,1863.31,1864.1,6.42215
2023-06-07 13:20:00,1864.22,1864.22,1863.63,1863.72,8.73475
2023-06-07 13:21:00,1863.47,1864.22,1863.22,1864.22,15.86379
2023-06-07 13:22:00,1864.22,1864.22,1863.89,1864.22,40.0193
2023-06-07 13:23:00,1864.22,1864.22,1864.19,1864.22,48.3169
2023-06-07 13:24:00,1864.22,1865.42,1864.22,1865.42,7.2537
2023-06-07 13:25:00,1865.5,1865.68,1864.69,1864.85,8.0605
2023-06-07 13:26:00,1864.79,1865.18,1864.79,1865.18,4.56624
2023-06-07 13:27:00,1865.4,1866.05,1865.4,1865.48,7.59458
2023-06-07 13:28:00,1865.39,1865.4,1865.39,1865.4,0.43912
2023-06-07 13:29:00,1865.39,1866.25,1865.39,1866.25,4.08401
2023-06-07 13:30:00,1865.54,1865.72,1864.89,1865.72,8.21664
2023-06-07 13:31:00,1865.44,1867.1,1865.35,1867.1,19.73628
2023-06-07 13:32:00,1866.77,1866.9,1866.72,1866.88,2.223
2023-06-07 13:33:00,1866.44,1867.23,1866.44,1867.02,5.71355
2023-06-07 13:34:00,1866.86,1867.29,1866.86,1867.29,4.31493
2023-06-07 13:35:00,1866.98,1867.14,1866.03,1866.59,13.46755
2023-06-07 13:36:00,1865.4,1865.4,1842.4,1865.3,8.29492
2023-06-07 13:37:00,1865.28,1866.15,1865.15,1865.89,17.84354
2023-06-07 13:38:00,1865.69,1866.03,1865.14,1865.5,8.46438
2023-06-07 13:39:00,1865.28,1865.75,1865.28,1865.75,2.98568
2023-06-07 13:40:00,1865.79,1867.29,1865.79,1867.22,19.38739
